Full_ROI_ID,Ground_Truth_Label,Confidence,ca_std,ca_skew,ca_num_peaks,ca_energy,ca_kurtosis,circularity,solidity,area_px,aspect_ratio,extent,eccentricity
20250409_1_ATP_100uM_component_13,OPC,1.0,23.79104732100049,1.8213360376420857,7,920507.8873857495,3.425926826737623,1.1190467566211404,0.9583333333333334,46.0,1.0,0.71875,0.6794524016643827
20250409_1_ATP_100uM_component_130,OPC,1.0,30.051596264751414,2.147812934915114,6,1278101.7577289576,4.988229231994623,0.7842552630757552,0.9206349206349206,58.0,2.0,0.7435897435897436,0.9089198382706581
20250409_1_ATP_100uM_component_132,OPC,1.0,157.61508815312263,2.689917721154191,8,31785906.905714534,7.187523030824924,1.0628634121628093,0.9259259259259259,50.0,0.9,0.6944444444444444,0.5958188460035121
20250409_1_ATP_100uM_component_135,Astro,1.0,30.539249770016614,0.7998136394033657,2,1904614.2399002563,-0.2765452447188341,0.3364193097289645,0.6830357142857143,153.0,0.6956521739130435,0.4636363636363636,0.7966216815263732
20250409_1_ATP_100uM_component_140,OPC,1.0,46.76470868773033,1.3775704776066915,4,3718744.9870158727,1.1393273598052822,0.9235352458594918,0.9473684210526315,54.0,1.5,0.7012987012987013,0.7866347639138893
20250409_1_ATP_100uM_component_142,OPC,1.0,46.08847378228344,1.3163985641910005,4,3652043.882518282,1.3690301917577363,1.094719653216333,0.9574468085106383,45.0,0.8,0.7142857142857143,0.6615339233456714
20250409_1_ATP_100uM_component_145,OPC,1.0,54.560699097701125,1.069481580666287,2,5631790.4396943925,0.675706823428055,0.8465739753712007,0.8979591836734694,44.0,1.0,0.5432098765432098,0.5822623318715054
20250409_1_ATP_100uM_component_149,OPC,0.8,81.144818141194,1.6039220517937967,4,10406976.234028757,2.453735413561194,0.46614963178131025,0.726027397260274,69.0,1.5555555555555556,0.5096153846153846,0.8845109205228131
20250409_1_ATP_100uM_component_150,Astro,0.75,125.09021727618136,1.1393544619284384,1,25870723.894977227,0.0156945591153419,0.555346200636266,0.7446808510638298,83.0,1.3333333333333333,0.3977272727272727,0.9539566014205623
20250409_1_ATP_100uM_component_156,OPC,1.0,33.85034216585488,2.147076936040738,10,1604043.772652847,3.8997562073096743,0.8717355933740345,0.9424460431654677,131.0,1.0666666666666667,0.6238095238095238,0.7939932137748488
20250409_1_ATP_100uM_component_159,OPC,1.0,141.4449939387486,4.321573746758156,7,23342427.310676657,19.745576618521483,0.8777816005617551,0.9305555555555556,67.0,0.7692307692307693,0.6203703703703703,0.8015109897397759
20250409_1_ATP_100uM_component_160,Astro,1.0,56.485893474295786,1.7239582952980776,7,5135098.435514126,2.938075617815998,1.2277497479199184,1.0,41.0,1.0,0.8367346938775511,0.1349135817998279
20250409_1_ATP_100uM_component_163,Astro,1.0,38.27477255968708,3.4121479106894617,6,2102602.361789296,14.613650325478265,1.0780241689052943,0.9607843137254902,49.0,1.25,0.7777777777777778,0.692434130766613
20250409_1_ATP_100uM_component_167,OPC,1.0,54.88456001639915,2.315994492995481,1,4421276.081708584,8.240435045246548,0.6839836609105526,0.8846153846153846,46.0,0.42857142857142855,0.7076923076923077,0.9532571585118573
20250409_1_ATP_100uM_component_17,OPC,1.0,35.439625828602,1.2788479750862085,4,2171336.1908060205,0.9795752338899208,0.6617075930045769,0.8518518518518519,46.0,1.75,0.5054945054945055,0.9563016888893244
